,score
0,0.043889722376956486
1,-1.6749445042103508
2,-0.4054179414006861
3,0.608810826434218
4,-0.441252528223692
5,0.11455548425911372
6,-0.11320593079309668
7,0.9852728247133411
8,-0.4287822451302682
9,0.4566689126399081
10,-0.723055079491963
11,0.25153520682078323
12,-0.13425697497141614
13,0.1454040338576899
14,0.655420188815595
15,-0.9370103168249202
16,-0.33027657608305494
17,0.1467049019414915
18,-0.3703721159882121
19,0.5296807538652999
20,0.8838009732066268
21,1.1251326226264506
22,0.1417025301236391
23,-1.1077245405888314
24,1.3329582440099417
25,0.18391516585567513
26,0.31062070099185873
27,-0.057895843939073044
28,0.20970082832757775
29,-0.768855579964846
30,-0.4516460312049896
31,0.6958780536278293
32,0.1809256550088178
33,-0.5547233277832886
34,0.6973331117435013
35,0.15660394105736059
36,-0.9668995219568517
37,-0.12971546975353557
38,-1.2331040648518978
39,-0.509602974026235
40,-0.9773416184581898
41,-0.3798839320389539
42,-0.6700434178224399
43,-0.6467386787450893
44,0.02169661074049728
45,-1.125681044801837
46,-0.2022169988053559
47,-0.20349190674389012
48,0.23832758057550302
49,1.0418246096539017
50,-0.49201117545638257
51,1.2887309365556683
52,0.9999995650507174
53,0.04398335706191614
54,-0.7527120914382996
55,0.14698397296219107
56,-0.05949342316780176
57,0.6942458274776027
58,0.12925666083278592
59,-0.3083183616768346
60,-0.8662548175442477
61,-0.21995657421466014
62,-0.7098296308603924
63,-0.025250594691914985
64,1.0039464548782946
65,0.036989892985816786
66,0.6572503090641126
67,0.247414062615893
68,0.8961744243024745
69,0.7438819904612406
70,1.5346469522864785
71,0.04524252178185101
72,-0.40520275744213885
73,-0.08591129262016906
74,1.2134579237553793
75,-0.321484721737219
76,-0.21489091635218716
77,-0.14316044420286028
78,-0.25476335771907843
79,0.07361465321648308
80,0.013493760239882746
81,0.6752471885727787
82,-0.6972308866678816
83,-0.6525051997621886
84,0.6537249133342076
85,1.0299270556378577
86,-0.6410277153515312
87,-0.21971953144521983
88,0.3520581979982846
89,-0.6431610879038914
90,1.1037316382606286
91,1.8297954034883839
92,-0.39269099772544547
93,1.0169563024915074
94,0.8042535887849847
95,-0.39409058554048393
96,-0.06726698854272878
97,-0.49445329306647257
98,1.3544289883788
99,-0.32020915945726874
100,-0.2031675559278947
101,0.215848374402203
102,-0.3353828261591649
103,0.8959071742807292
104,0.2474654049351092
105,-0.07529874517013335
106,1.2531044204549224
107,0.9388836633526569
108,0.8361083065900337
109,-0.3770187588134367
110,0.40708221730288313
111,0.26193300644677037
112,0.09670184496831347
113,0.17625020241077566
114,-1.1101031672345616
115,0.8838009732066268
116,-1.7213139109274305
117,-0.4507043568746943
118,0.2043199978925987
119,-0.34200967228457313
120,-0.038043294563620794
121,-0.9278273358107625
122,1.151443196496737
123,1.2886001406511698
124,-0.050250977483057846
125,1.2832230677729006
126,-0.10769524818679588
127,-0.3443651987869433
128,-0.5790802406861958
129,0.0726890576185506
130,-0.32577590883734064
131,-0.09070437715356142
132,0.2460339564749336
133,0.9999993733668113
134,0.36172160419132154
135,1.7747554760225501
136,0.15601567874098632
137,0.008800182819645064
138,0.0719862620193103
139,0.877178140472012
140,0.011839317219681289
141,-0.8623118047908831
142,-1.1884667695395226
143,-0.7365444360576617
144,-0.6485712652933616
145,-0.47087408132358954
146,-0.6886913281045988
147,1.0879509826066949
148,-0.09778765608682974
149,1.3885825500013973
150,-0.7065585469425366
151,-0.6901407481090447
152,0.7360787924777474
153,1.1875058807936307
154,-0.3654194090388756
155,-1.1317308934508181
156,-0.9788230932993922
157,0.04398335706191614
158,0.6184606413360367
159,0.33147170284588173
160,-0.08699714063045835
161,-0.22984068813204334
162,0.4542588203493691
163,0.4751760725931841
164,0.9999990256683073
165,-1.2308727394211714
166,0.39239595643375896
167,0.32718432324389773
168,-1.2431228967419454
169,-0.8941877140281034
170,0.6247762920013933
171,-0.2833010802547822
172,1.4080949214652447
173,-0.305413739617667
174,-1.3772875039378576
175,0.7961092500304756
176,0.6600614646811551
177,-0.987190674931574
178,0.1559823684335686
179,0.7644444000826334
180,0.8843854196280991
181,0.25216554164118593
182,1.3897013528496238
183,0.4412421452564476
184,0.5137421187748521
185,0.9215275461015695
186,-0.3736580686484533
187,0.3584300066892629
188,1.5554382148747332
189,0.5224541259695901
190,0.8976895154169222
191,-0.47313827661274926
192,-0.46152847501197014
193,0.03599103212996668
194,-0.030006569909028946
195,0.8194848626484221
196,1.3484814094810222
197,0.5448425734986704
198,-0.0164880768862663
199,-0.9046321256141265
200,0.6998181440139897
201,0.8937303792261142
202,-0.32240804419912694
203,0.12438932077778464
204,0.4747098510657279
205,0.15062626463168155
206,0.1254944103682013
207,-0.1640331836088146
208,-0.7283355433372127
209,0.7942754150945366
210,0.44804475598871424
211,0.9999990256683073
212,0.45851795848869265
213,0.8155556246426683
214,0.9672699805323592
215,-0.17661538861731946
216,0.12042235274031193
217,-0.23657757137417745
218,-0.6515510512897923
219,-0.4944571366926756
220,0.5352075572315687
221,-0.37409421725951775
222,0.9750766095826378
223,-1.125130202930459
224,-0.21747756610438834
225,-1.2188323669510177
226,0.04398335706191614
227,-0.15468361265146457
228,0.17595064607663152
229,0.06393143422196895
230,-0.0744115944405705
231,0.3462131168109041
232,0.25264155557058415
233,-1.2026955252932816
234,0.7227610937699429
235,0.37801593337320855
236,-1.136817276799245
237,1.0442490263380746
238,0.5635745109271411
239,1.0419522393851957
240,-0.7515726275839552
241,-0.19715898373313864
242,0.5842191029857495
243,-1.0542098863643152
244,0.2927495698793024
245,-0.970585062934954
246,-0.24836136807557088
247,-0.08670673764074782
248,0.9015363442310729
249,0.6257150340594793
250,0.4441896731074452
251,0.07672890715832098
252,1.4523326109850128
253,0.31380588547678995
254,0.4080980886635032
255,0.3164788736923974
256,0.17508763237397723
257,-0.7823366981060147
258,-0.014547119313427781
259,0.9015473606817892
260,0.589397867586958
261,-0.07756097531626766
262,0.08944772039294685
263,-0.3070727797183701
264,-1.308019984814477
265,-1.3322509841023633
266,0.07783576934333736
267,-0.07354771794661563
268,1.0674886619969524
269,0.3415379306926862
270,0.8988099637179849
271,0.04476358972898015
272,0.8154634220506778
273,0.061857905777061184
274,-0.9986417385363033
275,0.11377789320604709
276,0.6170049375942765
277,0.877178140472012
278,-0.3118920423501719
279,1.2990869591362828
280,-0.3517191564971464
281,-1.173983977683605
282,-0.6340323915952701
283,0.15336602343848132
284,0.6076495730611997
285,0.056987683168289116
286,-0.017832628872304968
287,0.36252425545634853
288,0.011696907032199444
289,-2.1776249672797046
290,-0.09856004024897105
291,-0.3585975888957426
292,0.9999990256683073
293,-1.0227742265128568
294,0.592103673245647
295,0.7532149707666125
296,-0.026153875871528176
297,-0.7515726275839552
298,0.507424737186676
299,-0.6044063371681352
300,0.8030120842368724
301,0.010173112382161065
