,score
0,1.1135400141747165
1,-1.0981168572427817
2,-0.08391864604611743
3,-0.7156049290239059
4,0.22583961801748048
5,0.5897378232745611
6,-0.9260483648265441
7,-1.3771782668031274
8,-0.08434001358719315
9,0.7613354354877748
10,0.9154468704494199
11,0.3920624370833358
12,-0.24257423941267042
13,0.40936091015448367
14,0.1296521101507247
15,0.9838484956934292
16,-0.8030140835018988
17,-0.7457610713360707
18,0.40936091015448367
19,0.228808221568714
20,-0.43698813441512885
21,-0.35698302186999925
22,0.22583961801748048
23,0.250775581653291
24,0.04990983739081628
25,-0.35916626331979007
26,1.2127294968932247
27,-0.6023579472736302
28,-0.9165955187702868
29,0.9999997806541745
30,0.6543093282523056
31,0.1723573487237568
32,-0.0253746947326986
33,0.19330070639595892
34,0.40936091015448367
35,-0.08928309039480606
36,0.019429501645562952
37,-0.15240977069117023
38,-0.7554443236489748
39,-0.9564584753769121
40,-1.385537451477433
41,1.4706627457689243
42,-0.35349535732337284
43,1.4152877210381622
44,-0.08584902154394924
45,0.2641550742863082
46,-0.04034119609434211
47,0.512306546868659
48,0.2876949075089508
49,-0.2617653911967592
50,0.2385220650349023
51,-0.7173923897477286
52,-0.4514390669419235
53,0.334900684890632
54,0.4703273598654472
55,0.8375863884733425
56,1.030065762746586
57,-0.4891710854663385
58,0.3984522671928719
59,-0.3784534355101759
60,-1.4579673438885028
61,0.2779162681374942
62,0.22583961801748048
63,-0.04735212023173868
64,-0.7058390593433851
65,0.8335492517030554
66,-1.2527517005557751
67,-0.6754082092297318
68,0.35719938296959636
69,-0.11508994441709153
70,0.22583961801748048
71,0.17905859836024773
72,1.0776581361881101
73,0.4748133167421225
74,0.5338048779858904
75,-1.3272616496221588
76,0.4544058480651623
77,-0.5724822805990504
78,-0.1485379981276757
79,-0.7649107027597856
80,0.13400570011617424
81,-1.6595135898772542
82,-0.6947526928922299
83,0.6063759310637853
84,-0.1000233408546464
85,-0.5963843182327647
86,0.37598833610496346
87,0.08066372311218445
88,0.4856953169411998
89,-0.4704348216351547
90,0.335781766151418
91,-1.177464409343573
92,-1.5646355973787394
93,-1.4607858945072076
94,-0.03812579478235528
95,0.17274863429859477
96,1.041702360227406
97,1.4102569575135122
98,-0.041495634021203265
99,-1.219570151663589
100,0.15214503697770626
101,-0.9386968725982641
102,0.5049616396827568
103,1.2681507854789695
104,0.2062507231779061
105,0.5535725490404018
106,-1.4030748548020968
107,0.5881766338612213
108,-0.22387185218988548
109,-0.37749195574232575
110,-1.3511340919376633
111,-0.3624072575705023
112,-0.007936214307366463
113,0.6084032944665787
114,-0.3217379223148829
115,0.4358128344345475
116,0.8177612286202685
117,0.9172029217422777
118,0.5450486516432094
119,-0.5119864794503814
120,0.5747389205490105
121,1.037372355682321
122,0.1676418732751775
123,0.8289418508736746
124,1.2874975111078508
125,-0.3180646379709087
126,0.925293987278951
127,0.925293987278951
128,1.142559405983576
129,0.6715931475123684
130,0.06295965013073967
131,-1.1397311987574184
132,-0.447802282584514
133,0.8292608091194655
134,0.8801568580660624
135,-0.7076013880126824
136,0.6194592570563298
137,0.5930099655692562
138,0.05265785308175758
139,-0.8573295947302331
140,-0.1391420553213649
141,-0.8353265930233111
142,-1.2483916788093041
143,1.0592602647224254
144,-0.48250587225182884
145,0.8852323371852122
146,-0.8091416818772773
147,0.5111955491960565
148,0.038225646754457
149,0.5352593726042081
150,-1.0380892998370412
151,1.3040865057142401
152,-0.6827808059147353
153,-1.2345416212642593
154,-1.0073090843040424
155,-0.09580026018893131
156,0.4135077602189909
157,0.766999598384184
158,-0.27166215298685464
159,-0.9362970472798096
160,0.48425301278074057
161,-0.8014843411361787
162,-0.034942571319214355
163,0.781084820737
164,-0.28042799919955985
165,0.4750989441099657
166,-1.4406077750419968
167,0.2124256946069239
168,0.8743989824504448
169,1.113704841336377
