,score
0,0.7041233774959006
1,0.39874000965531337
2,0.04529737992556121
3,0.48345642863565325
4,0.21216058660443293
5,0.1740773790003503
6,-0.018280627297019847
7,1.2505222601582648
8,0.2384220293387327
9,0.5144916704809284
10,0.20869011858646064
11,0.17654838779406984
12,0.30715703628833263
13,0.6886161837242102
14,-0.14697201343510052
15,0.24915424700952332
16,0.005423371202880167
17,0.6077171219504709
18,0.45214776077917546
19,1.3587436323538913
20,1.0085430039918644
21,-0.3182434973637772
22,-0.10668283506489498
23,-0.8054958139390336
24,0.036386628894579
25,-0.12682926658159646
26,-1.4082134764706902
27,1.4153428151712322
28,0.3007771520704851
29,0.7267566063586588
30,-0.5566811844575827
31,-0.11600360649274633
32,-1.1358704287784158
33,0.23444549570225198
34,-0.03767823208584989
35,0.06391729383953543
36,0.5888700209903444
37,-0.34182797283119015
38,0.3235413551020178
39,0.04529737992556121
40,0.2376066695494618
41,-0.09139159487651496
42,-1.334435331193243
43,-0.11920001505861844
44,-0.048663003753378425
45,-0.4036687127418449
46,-0.45473815115637595
47,-1.8555452745932939
48,0.023048603391846167
49,0.3605611818001114
50,-0.20652101374730625
51,-0.37024776201483217
52,2.3266126754280934
53,-0.2738560236793696
54,-0.5762593258955007
55,1.2505222601582648
56,-0.4799648449050566
57,0.4572261600364776
58,-0.24200620635035497
59,-0.38303231508290636
60,0.48161198454341864
61,-0.38663420787498
62,0.2188999673493202
63,0.924226505363207
64,0.49597164435590696
65,-0.1749201886104752
66,0.05816331183425694
67,0.48161198454341864
68,-0.00480036745945428
69,0.7639276349713955
70,0.9516467943076605
71,0.05371336155321488
72,-0.8315276609318092
73,-0.7774661754575294
74,-0.5295434923542142
75,0.6757613779769236
76,-1.431471050550318
77,0.2665915426843099
78,0.5144916704809284
79,-0.10813976494671149
80,0.11441932223136031
81,0.5454567694659271
82,-0.3650464820859834
83,-0.3493600497178564
84,1.0245373417294403
85,0.5398715066213231
86,0.1779117824560968
87,0.0750719738903568
88,0.04529737992556121
89,-0.8641610387251437
90,-0.7174062137149477
91,1.0691449473226735
92,0.15226481520076346
93,-0.4521748593244588
94,0.0013147486483283954
95,-0.19275123319662374
96,0.25554010034237323
97,-0.3365513302503565
98,0.04783916655391007
99,0.285776397885986
100,-0.5603400973276962
101,-0.1899230464751448
102,0.32771020604273565
103,0.7842898705125918
104,0.8452434005911797
105,0.3669124105200538
106,1.0986788738763529
107,0.18872472056041328
108,0.14446173219948705
109,-0.3213269006627948
110,0.2147867882720942
111,0.00037582229009180956
112,-0.31046579211267994
113,0.9656295519670199
114,-0.6669174255099788
115,0.585433210369313
116,-0.22982261123669556
117,0.7136267793953692
118,0.34040347691714584
119,-0.6897086370253074
120,-0.5347161489674475
121,-0.21231581507261402
122,1.1538480546739442
123,0.42907272024603577
124,0.5755699883177985
125,1.4300955444006054
126,0.4333924474964281
127,-0.5378107258496156
128,0.9761488200089641
129,-0.539320464532967
130,1.235796479862275
131,0.4129494265533024
132,0.546405038707112
133,-1.2358597841001584
134,-0.26080754764862013
135,0.2860188228642067
136,-0.1899230464751448
137,-0.1899230464751448
138,2.1987749255199134
139,1.457630414057806
140,0.04529737992556121
141,-0.1899230464751448
142,1.1357802585553263
143,-0.1899230464751448
144,-0.4733812548983912
145,-0.5950297777867339
146,0.2268062902412526
147,0.4885879253345436
148,0.26703536759794927
149,0.03230179807832595
150,0.9615103486817731
151,1.2430658537025876
152,0.12590790055305195
153,1.1702948133096953
154,0.6674091488970288
155,0.3520598588213237
156,0.034367712437105846
157,-0.476429148718342
158,-0.965904859081393
159,-0.5246822958483586
160,-0.042768117984247594
161,-0.5832927874814069
162,0.45838150404874173
163,-0.09934016526185624
164,0.04529737992556121
165,-0.02369588009312837
166,0.24208875519037826
167,-0.13425697497141614
168,1.103016518334066
169,-0.8811850584957177
170,-0.9423561974778243
171,0.48161198454341864
172,0.2433020939041754
173,-0.1899230464751448
174,0.6852024709931392
175,0.8938150654039807
176,0.14262300207719275
177,0.17333898394926517
178,0.2981138231001999
179,-0.7260308984567156
180,0.7380555583391195
181,0.9066484798365197
182,0.6648844795715823
183,0.0284663402051768
184,0.519617760148402
185,0.10127144426824336
186,0.9121558299571839
187,0.04983706163799578
188,0.26494186934656855
189,0.5378377970713581
190,-0.3562451293990242
191,0.33524649222222863
192,-0.06913416392310842
193,0.19826528235247204
194,-0.712682679777747
195,0.04398335706191614
196,1.3393063073558737
197,0.6343231613123776
198,0.22006026654825311
199,0.05835918665105483
200,0.16329004753385146
201,2.142067295967962
202,-0.3196531817252553
203,0.27385790393303305
204,2.2422442109740315
205,-0.5393483786068356
206,-0.00889608058996258
207,0.9906523600396355
208,0.6472648243624455
209,1.2505222601582648
210,0.40210250088583516
211,0.5126910620062786
212,0.02964761078242939
213,0.13133104141483753
214,-0.1346467475190979
215,-0.047152411731072236
216,-0.14437454854471463
217,0.37278535170186416
218,-0.18288358282269782
219,1.1332230228136457
220,-0.07482753127195729
221,0.534134074462771
222,0.7956233515857805
223,0.9609446379136188
224,0.04529737992556121
225,0.04529737992556121
226,0.49649654760482526
227,1.739764085679909
228,-0.6280853556412553
229,0.4640170995578427
230,-0.11920001505861844
231,0.04529737992556121
232,-0.837675084333658
233,-0.020400281658774666
234,0.2539480494884096
235,0.48632728194919145
236,0.24323997820068094
237,0.6315323638399282
238,1.1621660439552166
239,0.8676116359458759
240,1.0179621831708854
241,0.0721340400434971
242,1.2788592380064974
243,0.8627294622752244
244,1.6363542034892478
245,-0.16311664739281298
246,0.7546669453292589
247,0.7787737697992687
248,0.008652085101505669
249,-1.2826015331777316
250,-0.4067615973070725
251,1.747807304354352
252,0.3316551993446056
253,0.350813174020607
254,-0.0686428372260614
255,0.47945843131475546
256,0.029713451278688685
257,1.3352941131135228
258,-0.28345096175445733
259,-0.6150055784809167
260,-0.32380078357044023
261,-0.16311664739281298
262,0.05320176699272028
263,-0.7445157724105431
264,1.466389860809838
265,-0.04691114210524852
266,0.5978581662358251
267,0.4377879998801512
268,0.8621850912607485
269,-0.1899230464751448
270,0.42903842950507515
271,0.46195915763271894
272,0.9307044285647881
273,-0.21073757802570334
274,-1.1020993183318128
275,0.8195885944371126
276,0.5888969996602653
277,0.11374051373216315
278,1.0338074221617795
279,-0.04376283637426703
280,0.9349827752714717
281,0.5892762080579381
282,0.20961483099688444
283,0.49932483903539376
284,0.08577930377709625
285,0.04529737992556121
286,0.11471038654863741
287,0.996028455936738
288,-0.44440458661776494
289,0.025948712182265854
290,0.3229826618983445
291,0.877178140472012
292,0.11878522247668116
293,0.6997911889651391
294,0.48161198454341864
295,-0.5160732403625424
296,0.9315003134099122
297,-0.11920001505861844
298,-0.9664799876735337
299,1.2662099103770244
300,0.49481702880899986
301,0.24384319686070904
302,0.24206602173357106
303,0.05954865291462336
304,0.6909248567995656
305,-0.6421940347749375
306,-0.7586043850985007
307,0.20446157328370412
308,0.05730499403371214
309,-0.259493192216732
310,0.696577974469708
311,0.41467857110932477
312,-0.17809768290910644
313,-0.8209716987276718
314,0.11675824753195169
315,0.04980816610187877
316,0.4654640035865227
317,0.6640891414233581
318,0.24764623964854277
319,-0.13479280854856626
320,0.6339308855477654
321,-0.02985460917646937
322,-0.47596259021854564
323,-0.001621660134139613
324,-0.04678306772769314
325,-0.9868376282232552
326,0.2310166073993657
327,0.16305633546467296
328,-0.4693173159030667
329,0.3960329469644274
330,0.8091689193397937
331,0.5861489922859113
332,0.6027617216808832
333,-0.6685164613109742
334,1.2505222601582648
335,-0.28498308565515695
336,0.6022563478037679
337,-0.535415335996239
338,-0.03982597650481484
339,-0.1839984492443206
340,0.6149613855497631
341,0.2961623091878542
342,-0.1899230464751448
343,1.2701728477416876
344,-0.13425697497141614
345,0.04529737992556121
346,0.5275486516856198
347,-0.09934016526185624
348,1.0104702027346695
349,-0.06807119158158342
350,1.1155285236605263
351,-0.38673692853216796
352,0.33110806151366584
353,0.8711354836225667
354,0.744372863675077
355,0.04529737992556121
356,0.5684475438900893
357,1.33427918893998
358,0.1766231514720596
359,0.2968926365602253
360,0.05012073206526613
361,0.5565734271411615
362,0.13418047672916394
363,-0.4728101118647299
364,0.19918141246266563
365,0.088058999012252
366,0.8380933494920935
367,0.10429764762215682
368,-0.1899230464751448
369,0.6501852062104234
370,-0.018280627297019847
371,-0.5075006307129584
372,0.1880090943880447
373,0.3907196400752046
374,0.14156975921181142
375,0.3091429656250934
376,0.2839889102796565
377,1.9426080731861215
378,0.8561402526271606
379,1.0101760871721392
380,-0.1899230464751448
381,-0.33909292894274207
382,1.1696713104610994
383,0.4069919060012576
384,1.0247340965417608
385,0.7617039802933119
386,0.42286682821934546
387,0.05835918665105483
388,0.938484554963559
389,-0.27086494418683604
390,1.2780312544981687
391,1.0416857312426069
392,0.017307015039061735
393,-0.1899230464751448
394,-0.8912501279533984
395,0.2779719066777491
396,1.3281260000894837
397,-0.4039233729174611
398,-1.0600486495924566
399,0.7321456361612109
400,1.5760187064547944
401,0.7845227719022008
402,0.14936373957565668
403,0.175607563560279
404,0.8378515947132457
405,0.13418047672916394
406,0.0961822011763882
407,0.9940568888527812
408,-0.5429050410817975
409,-0.12543746472334252
410,-1.431164075024803
411,-1.139655161170453
412,-0.1899230464751448
413,0.6193374339289786
414,1.0460119696184293
415,-0.09962478922105378
416,-0.989035712274605
417,0.3219587024159815
418,-0.1671820681962363
419,0.04078680830038833
420,1.429993379949916
421,-0.013368997556218537
422,-0.1899230464751448
423,0.7688685525116867
424,0.2702383767139252
425,0.14195998475995902
426,0.023378571249773772
427,0.24323997820068094
428,0.3219587024159815
429,0.5610405166245218
430,0.0003659742763231222
431,-0.8612106266985133
432,-0.5566811844575827
433,0.04529737992556121
434,0.24323997820068094
435,0.9456328956055682
436,0.26703536759794927
437,-0.4837343623290791
438,0.6077090899568243
