,score
0,-0.6276707554928793
1,-0.22112807768874537
2,-0.4936102728266891
3,0.9180637467669948
4,0.22583961801748048
5,1.4094525882426137
6,-0.23719830028911806
7,1.0191086929604813
8,0.26441555374058684
9,0.39700012998053263
10,0.5620221187441474
11,-0.03584276186600638
12,0.49944961217409717
13,0.365254726345595
14,-0.41589114674820904
15,-0.43519344166266705
16,0.22549030713226265
17,0.08811114421548255
18,-0.3999832176223818
19,-1.0134066981378218
20,1.0053089774317727
21,0.002459301254854107
22,0.6785771773728688
23,1.0313750635775958
24,-0.043001203923403064
25,-0.1406307911467555
26,-0.41728877941986214
27,0.18559564050414812
28,-0.4207618976819068
29,-1.2888947889411382
30,1.2980786625664593
31,0.5620221187441474
32,0.8875139684582221
33,-0.9733566857011611
34,0.5842701842556055
35,0.12761311365676642
36,-0.5941079580838711
37,0.5620221187441474
38,-0.02736686365665858
39,-0.07978608493868183
40,0.7856672609643449
41,-0.3637935606733348
42,-0.596848351375854
43,0.6333997768161299
44,0.26051113910089835
45,1.3853305979979516
46,0.3642230660963655
47,-1.2933609047008903
48,-0.7227506897097806
49,1.0313750635775958
50,1.0101381834230214
51,-0.4050047277837737
52,0.5620221187441474
53,0.7971076584571932
54,-0.9848940684932439
55,-0.8385512385252998
56,0.6342217765424152
57,0.5620221187441474
58,-0.03584276186600638
59,0.2575043274682855
60,0.7481947215820628
61,-0.6895262513073881
62,0.7053642370955151
63,-0.2231625817298622
64,0.5620221187441474
65,1.01620672366387
66,-0.16719401314887816
67,-1.4395251343470212
68,-0.13048788693782382
69,-0.3534502147903686
70,0.34802899139741966
71,0.14250284505439897
72,-0.5311463583873118
73,1.0727399239816275
74,0.8022323353625145
75,-0.5698735081755104
76,1.0053089774317727
77,-0.5354464813061318
78,1.0053089774317727
79,0.5620221187441474
80,0.18183326352106555
81,-0.7805744719641381
82,-0.03584276186600638
83,-0.6732363062973584
84,-0.7056197130798417
85,2.4375582974475622
86,1.0568850069202658
87,-0.07875056669056316
88,0.5620221187441474
89,-1.9673446849210208
90,-1.2376582281455033
91,1.741796223437131
92,0.8151871584360282
93,-0.7183084833348815
94,1.0680790187841602
95,-0.9526936538651372
96,1.126398253206978
97,-0.47489515941860705
98,-0.10051027850329891
99,-0.07615833513734976
100,-1.2686189369767291
101,0.4059185992119347
102,-0.2560150698174266
103,-0.8439169721059523
104,-0.6171975405927893
105,0.5620221187441474
106,-0.5656797973626142
107,0.9838484956934292
108,-0.292646698951355
109,1.0053089774317727
110,0.6611587350051507
111,0.5798717475472179
112,0.6784594789884848
113,0.1470134685844876
114,1.0053089774317727
115,1.0313750635775958
116,-0.3834808799546782
117,1.123098688304953
118,-0.08687806018845884
119,-0.626884221363736
120,-0.4398596785960666
121,0.5358554993359137
122,-0.5617770888303628
123,-1.0640838804592825
124,-0.03584276186600638
