,score
0,-1.5857592101889821
1,0.2797617972407031
2,-1.1805780918893478
3,0.716984109175796
4,0.5230985044599397
5,0.8970323145373089
6,0.7184755722712206
7,-0.5208427520684378
8,-1.0389403007747398
9,0.25619842235079465
10,-0.03584276186600638
11,-0.03584276186600638
12,-0.09732570732758589
13,-0.9176600472444134
14,-1.7854237705270388
15,-1.0703141723131535
16,-0.03584276186600638
17,-0.6049230332244475
18,-0.3443939823957668
19,0.15285523269799528
20,-1.4947381094329684
21,-1.1874270139715033
22,-0.3733968981583218
23,0.1530052730846183
24,-0.32410278847567914
25,-1.3815637054749252
26,-1.3318919224531398
27,-1.8960369671090778
28,-0.930978404497159
29,-1.9239468823689045
30,-0.03584276186600638
31,0.3771844059975176
32,-1.5679023225986954
33,0.032574219917762826
34,-0.6302249000293373
35,1.0074595152640373
36,0.7370277434662715
37,-1.1020301243428532
38,0.1985905353487289
39,0.2246017004964696
40,-1.038158981247784
41,0.6034907033311836
42,-0.18132306634463208
43,-0.7531717740893329
44,0.30360678467160246
45,-0.02314567083775315
46,-1.0726379252252807
47,-0.2621545214110083
48,-0.6548485971444955
49,0.14585656696339294
50,-1.1819593477306367
51,1.0496110421292704
52,-1.698205939023391
53,0.35891945359816396
54,-0.11103541312906359
55,-0.0919988077370702
56,0.3103727307633482
57,-0.7954880130954883
58,1.2836415457266144
59,-0.31535466630099473
60,-0.7182598697849449
61,-0.6526455510871654
62,-1.7297628163176186
63,0.31793711523050344
64,-0.058872423156576814
65,-0.4250933757405781
66,0.11971226860286288
67,-1.2360353365822756
68,-0.24894588918545238
69,0.37871578403655975
70,-1.064579999548181
71,-0.6066841943135415
72,-0.3429629081457879
73,0.027277811934929175
74,0.678064040772328
75,0.18297552703097886
76,-0.9103885256127882
77,-0.5280483760663381
78,0.2746013715253853
79,0.6015926826068165
80,0.06900848949741273
81,-1.1590878446212445
82,-0.9999999705181173
83,-1.660811185601854
84,-1.2755611643497091
85,-0.34543527483007114
86,-1.0553008217800341
87,0.9623555150906888
88,-0.41610319291721254
89,-1.9999873829667818
90,0.4742838201850979
91,0.7399468006357985
92,0.9999997806541745
93,-0.7505697986700565
94,-1.5155862155998072
95,0.545695518708079
96,-1.1834659644162657
97,-1.664841079632015
98,-0.1276207060805803
99,-0.9489679014619627
100,-0.6311292919793411
101,-0.8089679670448355
102,0.31855772760607864
103,-1.0923241129216046
104,-1.0125609275370102
105,-0.6729739714388823
106,-1.282289812273082
107,-1.189264299386786
108,-1.5932455799453034
109,-0.1251795977814521
110,-0.1693740673843047
111,-0.42275257157577384
112,-1.031880801747209
113,0.3287271430822816
114,-0.3713628190111725
115,-0.48210748283970023
116,-1.1839073344147868
117,-0.030589207247894434
118,-0.03718021447442349
