,index,username,score,category
143,117169,vanclutch,0.00117121,o
144,126337,trxll_gorgeouss,0.00117316,o
145,143324,TheCobaltgeo,0.00118138,o
146,72278,puppetsovereign,0.00118908,r
147,91308,RedsfanRay,0.00119431,r
148,110714,taengsync,0.0011947,o
149,109551,mkyxpm,0.00121421,o
150,131716,_TyBowie,0.00121818,r
151,116564,suga_engbot,0.00122165,r
152,18557,yooniie_twt,0.00122566,r
153,107885,SleepyShotMe,0.00122892,o
154,80422,Face__Hole,0.00123048,o
155,83284,ericthebadguy,0.00123835,r
156,26894,YourGirlJ111,0.00124442,o
157,131650,4tdsbundy,0.00124915,r
158,122917,Smilerose14,0.0012553,o
159,3805,shadowbusterdi,0.00126216,r
160,35920,sayallez,0.00126726,r
161,35779,king_carufe_22,0.00127351,o
162,18839,theremin_wooooo,0.00127547,r
163,131389,josmeiryyx,0.00129393,o
164,47839,BrettGardnerHOF,0.00129501,r
165,135693,professafloyd88,0.00130156,o
166,148257,DaveK72,0.00130637,o
167,123945,LeniiBlue,0.00131893,r
168,4210,Penrosestair,0.00132755,o
169,8092,megsaura,0.00133958,o
170,94827,EvilMark666,0.00134366,o
171,32537,JeremiahVsJZA_,0.00136886,o
172,47626,unhealthinfj,0.00138764,o
173,11198,ThomasEAnderson,0.00138899,r
174,12057,PowerBug96,0.0013893,r
175,146245,DezhaProblems,0.00138955,r
176,148219,vlmhma,0.00139078,r
177,92629,KayDoeBags,0.00139087,o
178,61238,OkiTimes,0.00139334,r
179,22853,milixikiki,0.0013967,o
180,119249,lovebern1,0.00139845,o
181,9409,Goth_Singles,0.00140502,r
182,40309,thestlcardsfan4,0.00140897,r
183,143162,Wakeylegs,0.00143014,r
184,6162,Rain_On_Canvas,0.00144446,r
185,108738,Skynyrdspilot,0.00144502,o
186,112622,3Stamp617,0.00145145,r
187,63854,DeanAstumian,0.00145195,o
188,45810,__tooorrrriii__,0.00145881,r
189,131643,brettjacobs_02,0.00146085,r
190,18131,Ianzilla_,0.00146762,o
191,135088,PyeparFaisal,0.00146961,r
192,121719,MattLegit10,0.00147319,o
193,146855,BellamyLincoln,0.00148328,o
194,66769,MerlinOtello,0.00148888,r
195,59867,ptownmorgan,0.00149108,r
196,79942,BY_HIS_STRIPES,0.00149963,o
197,64893,clerysboy,0.00151255,o
198,33041,kaykay_win,0.00151563,r
199,94481,WAForeskins,0.00151724,r
200,110685,_moonlightmin,0.00152352,r
201,37723,LdyNymeria,0.00153582,o
202,96436,celestialdimple,0.00155777,o
203,37668,SADLYSWIFT,0.00155827,r
204,87922,DaughterofTerra,0.00156885,r
205,43122,WilYow,0.00157512,r
