,username,score,category
0,,0.5571391013851883,r
0,,0.4091254557303459,r
0,,1.2604886860617688,r
0,,1.3545626375902762,r
0,,1.3835601842124392,r
0,,0.11784662343050917,r
0,,1.2675781396238675,r
0,,0.2065065208130476,r
0,,-0.4808644243520843,o
0,,0.6335777658545534,r
0,,-0.4473935619361582,o
0,,-0.3928469794068812,o
0,,-0.6966721033030069,o
0,,0.8340713397219504,r
0,,0.27249191211296636,r
0,,0.9883892304738859,r
0,,1.1465554809082874,r
0,,0.7767592878758087,r
0,,-0.31022463758872065,o
0,,-0.2905158552565884,o
0,,0.8466880377563397,r
0,,1.0295989148210698,r
0,,1.0536407189316033,r
0,,0.5325295577121034,r
0,,-1.1472814878042807,o
0,,0.7240294965815177,r
0,,1.082590019915944,r
0,,1.6856963392830477,r
0,,0.1409420033001722,r
0,,1.407612096456433,r
0,,1.2539733075858446,r
0,,1.0955644381305232,r
0,,-0.7237754932521265,o
0,,0.9702758757395429,r
0,,0.5027647679565825,r
0,,1.007300141354275,r
0,,2.2332853985698837,r
0,,-0.8954928814250147,o
0,,1.4170094716550579,r
0,,0.5337407400563905,r
0,,1.0616625632230754,r
0,,0.712453810179775,r
0,,0.581780771348636,r
0,,0.4562798062330354,r
0,,1.455990693982579,r
0,,1.6446091467882096,r
0,,-0.855660794627003,o
0,,0.14918726223978124,r
0,,0.7866228974815095,r
0,,0.5149421521372894,r
0,,0.3922872059719264,r
0,,-0.23658950227641568,o
0,,0.7314170075202295,r
0,,1.0362218430893604,r
0,,-0.07218833246658493,o
0,,-0.13884020577242623,o
0,,0.40217836578214533,r
0,,0.11045066400618925,r
0,,0.7950206492102685,r
0,,0.37364191712007916,r
0,,0.03970396578511304,r
0,,-0.8733463931363954,o
0,,1.0600332479406167,r
0,,1.0464336305105788,r
0,,1.2829645238843996,r
0,,-0.5885175773383932,o
0,,0.10862448993457735,r
0,,0.15780557699343162,r
0,,0.7794433113281574,r
0,,0.013163341324063327,r
0,,-0.0032000797634719746,o
0,,-0.6149444065318962,o
0,,0.7516559994764418,r
0,,0.6866923352387033,r
0,,-1.2230728975773955,o
0,,0.04546609927355616,r
0,,0.15006532244050996,r
0,,-0.812415260929322,o
0,,0.9024227992068714,r
0,,1.9716023511296799,r
0,,0.44773897991273054,r
0,,1.0937751610408386,r
0,,0.4303837319046436,r
0,,-0.28647728942789025,o
0,,0.31617812803688744,r
0,,1.1068262657667363,r
0,,1.75691884096886,r
0,,0.019573539197427714,r
0,,0.37418352022390716,r
0,,0.2052090992911308,r
0,,-0.006631475803766607,o
0,,-0.08814831126845868,o
0,,0.10841459666170744,r
0,,1.256001970441075,r
0,,1.0465074944542185,r
0,,0.43672988839229704,r
0,,-0.29044719522289014,o
0,,0.24045253326905142,r
0,,-1.3859967397523574,o
0,,0.5060424295363222,r
0,,0.5299661698668172,r
0,,0.5770383264301528,r
0,,0.47559055563924574,r
0,,-0.5220777419530858,o
0,,0.13431970871247773,r
0,,-0.00597521523474398,o
0,,0.39765170347442685,r
0,,0.508775965012704,r
0,,0.1410211062026313,r
0,,1.1619429273301503,r
0,,-0.30547054322629474,o
0,,-0.5353346733160872,o
0,,0.14613651175299008,r
0,,0.525081971095062,r
0,,0.3007597105605428,r
0,,0.8592293409968699,r
0,,1.128698245842397,r
0,,0.9293642989035682,r
0,,-0.0359184540077116,o
0,,-0.8343451895619047,o
0,,0.5487054998651046,r
0,,1.1245567496367597,r
0,,-1.1044180647683897,o
0,,1.1914662801714027,r
0,,1.2785543195611389,r
0,,0.790844613340602,r
0,,1.0299044326364062,r
0,,-0.6019715517761459,o
0,,0.7553255282673934,r
0,,0.9539649931288969,r
0,,0.8647555438145464,r
0,,-0.8137692947302315,o
0,,0.34013524698779934,r
0,,0.0693213518251038,r
0,,0.4317429966437674,r
0,,0.2648943659816076,r
0,,0.5503901171967476,r
0,,0.6931222218039002,r
0,,0.9437251326609113,r
0,,0.14701768482791244,r
0,,0.5305168219404064,r
