,tweet
114,usernam got educ ole skool multipl music note multipl music note black heart usernam hashtag hashtaghashtag hashtag hashtag hashtag hashtag hashtag httpaddr
115,usernam usernam usernam go night usernam septemb hashtag
116,codyjinksmus releas new album lifer option amazon httpaddr jink store httpaddr applemus httpaddr itun httpaddr spotifi httpaddr googleplay httpaddr pictur
117,somewher miss gone usernam
118,good stuff usernam usernam hashtag pictur
119,like number dollar beer like number dollar well old honki tonk bar know smell codyjinksmus
120,know marri good man surpris codi jink ticket x codyjinksmus
121,codi jink man new album piss cuz good damn good usernam
122,usernam usernam like first miller lite hot summer day effin good
123,look usernam httpaddr
124,thing get shift tonight new usernam album avail sign horn emoji modifi fitzpatrick type number
125,life complet ive wait long juli number lifer come weari face weari face weari face heavi black heart everyon go listen man wrong usernam pictur
126,usernam usernam pictur
127,liam scream bloodi murder second hear usernam come instantli calm thing make stop obsess lol
128,usernam one favorit usernam song cast stone hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag numberclothingco httpaddr
129,usernam usernam well cj awesom news look forward
130,usernam listen
131,got ticket soon went sale morn columbu isnt readi usernam heavi black heart pictur
132,usernam guy come carbondal somewher close southern il bring usernam
133,usernam usernam shut justin hashtag
134,usernam usernam buy sign give cashier
135,usernam true artist
136,know alreadi said holi wow new album usernam
137,usernam usernam
138,kid day would call cool listen usernam hashtag lot think stranger might one favorit song ever
139,usernam usernam bout one best album number
140,usernam hashtag hashtag usernam pictur
141,usernam usernam usernam agre man glad dig
142,usernam get usernam come perform
143,summer soundtrack awesom usernam new singl along new music usernam usernam usernam usernam get better want great music listen summer check artist
144,new lid came time usernam loud n heavi fest hometown hashtagftw pictur
145,usernam usernam usernam usernam usernam celebr ol brother rick clink beer mug
146,usernam releas first singl upcom album lifer disappoint httpaddr pictur
147,great start friday morn jink new album hit spotifi bright earli heavi black heart usernam pictur
148,limit seat avail usernam tonight ticket start moneysymbnumb ticket httpaddr hashtag hashtag pictur
149,usernam usernam usernam httpaddr
150,codyjinksmus sign rounder record announc new album lifer httpaddr pictur
151,matthew die see usernam concert cours weekend play whitewat matthew work go disappoint reliev face
152,usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam
153,usernam hey codi venu show thur aug number sure hope sunday aug number
154,usernam know life httpaddr
155,highli recommend usernam smile face heart shape eye smile face heart shape eye pictur
156,might go usernam warfield san francisco ca aug number httpaddr
157,quit caus quit enough new usernam fantast head back east
158,usernam realli incorpor fast hand usernam roy liter theme song
159,hi hey whoever play usernam first floor apart build friend immedi k thx
160,usernam usernam wait love music put thank
161,hashtag offic next door huge fan usernam fan illeg pictur
162,usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam well appreci effort greatest music earth
163,usernam must whiskey get excit lifer
164,usernam fun night usernam httpaddr
165,relat codi jink half new album drink whiskey half take shot holi water preach usernam
166,usernam usernam usernam kick countri brother sure gonna record devil
167,usernam new album today ye sir wait see show usernam
168,usernam usernam usernam usernam thank dude
169,love usernam alway love music ever mix new album need anymor vocal sound phase promin mix disappoint
170,usernam need get tyler childer
171,usernam would say whole adob session album usernam
172,love usernam also need give love usernam hard decid let shuffl
173,listen lifer sinc came everi chanc get even play work lunch sever co worker ask usernam hashtag hashtag
174,still fightin battl fightin year dream dream unless livin fear thin line see geniu insan usernam number best songwrit long time hashtag
175,usernam hate bother gonna need ya schedul tour date sc
176,usernam usernam hope feel better codi afford lose outlaw tri keep real countri aliv fist hand sign pictur
177,usernam say later june june right around corner
178,lifer win grammi mark word usernam
179,usernam jink sign rounder record httpaddr rounderrecord usernam pictur
180,usernam usernam bought number cd store let u stream free find contact info websit
181,usernam hit home run w one
182,usernam still wait patient patient
183,ok head case instant classic get new usernam record
184,usernam usernam pictur
185,numberx amount stream hashtag song think usernam got figur httpaddr
186,never simpl thing see world young man brain old man heart restless soul usernam
187,come none ever told usernam
188,usernam bout come houston need show heavi black heart
189,usernam new album smile face heart shape eye give listen
190,usernam usernam perfect fit rcc would one hell show
191,usernam usernam fuck
192,usernam usernam without doubt blue bell countri music rest ice cream
193,usernam usernam usernam pleas keep nra thought tire clear playlist one day
194,listen usernam new album lifer straight fire love everi song hashtag hit heart hashtag
195,shit right jam momma alway worri son smile face heart shape eye smile face heart shape eye hashtag thank usernam pictur
196,usernam usernam usernam usernam usernam shoulda known get ahead big shooter
197,usernam usernam usernam usernam usernam love support fellow texan
198,usernam usernam usernam usernam usernam usernam usernam usernam usernam lunch box cool
199,usernam cannot wait new album favorit word
200,usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam name
